X, Y
1244, 3730
1235, 3730
1226, 3730
1218, 3731
1222, 3736
1228, 3739
1236, 3742
1245, 3747
1255, 3750
1268, 3753
1282, 3759
1299, 3762
1321, 3765
1343, 3769
1366, 3773
1390, 3776
1411, 3777
1430, 3778
1447, 3779
1460, 3780
1470, 3782
1478, 3782
1485, 3782
1479, 3777
1471, 3773
-1, -1
1392, 3737
1384, 3736
1379, 3739
1377, 3747
1377, 3755
1377, 3761
1377, 3775
1377, 3789
1377, 3804
1377, 3824
1377, 3845
1377, 3869
1378, 3891
1379, 3912
1381, 3933
1382, 3951
1382, 3967
1384, 3982
1385, 3992
1385, 4000
1385, 4006
-1, -1
1615, 3727
1604, 3721
1610, 3721
1599, 3728
1595, 3734
1605, 3750
1608, 3764
1611, 3785
1614, 3804
1616, 3836
1618, 3861
1619, 3885
1620, 3909
1621, 3930
1621, 3947
1621, 3964
1621, 3978
1621, 3986
1621, 3993
1625, 3980
1629, 3966
1633, 3950
1640, 3932
1647, 3914
1656, 3899
1665, 3883
1675, 3868
1683, 3857
1693, 3847
1701, 3839
1708, 3835
1715, 3833
1724, 3840
1729, 3847
1732, 3859
1734, 3874
1737, 3891
1738, 3910
1738, 3929
1738, 3947
1738, 3964
1738, 3977
1738, 3987
1738, 3994
1738, 4000
-1, -1
1977, 3870
1980, 3879
1981, 3886
1983, 3897
1983, 3909
1984, 3923
1985, 3938
1987, 3953
1985, 3967
1985, 3979
1985, 3990
1985, 4000
1985, 4007
1981, 3996
-1, -1
1980, 3791
1979, 3783
1986, 3786
1991, 3789
1998, 3793
2005, 3798
2011, 3805
2018, 3812
-1, -1
2169, 3863
2176, 3859
2183, 3852
2190, 3847
2195, 3841
2199, 3836
2188, 3836
2180, 3840
2169, 3844
2158, 3853
2149, 3861
2142, 3868
2136, 3878
2131, 3887
2130, 3894
2130, 3903
2132, 3910
2137, 3916
2144, 3922
2154, 3926
2164, 3931
2177, 3938
2187, 3944
2197, 3951
2206, 3960
2210, 3969
2211, 3979
2211, 3989
2207, 3999
2199, 4008
2189, 4017
2178, 4024
2167, 4031
2159, 4034
2151, 4036
2144, 4035
2144, 4025
-1, -1
2617, 3890
2622, 3895
2625, 3900
2628, 3907
2630, 3915
2633, 3925
2636, 3936
2638, 3950
2641, 3962
2643, 3973
2644, 3986
2644, 3996
2646, 4007
